id,x,y,label
1,1231569.43843427,5781498.86921619,1
2,1231541.55290182,5781371.87100375,1
3,1231879.10699376,5781535.53940703,1
4,1231599.28318975,5781672.87767148,1
5,1231634.19298206,5781679.46496111,1
6,1231462.87228573,5781463.40120825,1
7,1231446.10757042,5781406.2968917,1
8,1231549.45658567,5781437.27709974,1
9,1231638.12256009,5781744.21619516,1
10,1231685.01032961,5781618.400493,1
11,1231692.64684668,5781420.33653801,1
12,1231535.89787169,5781440.85112968,1
13,1231632.44526606,5781450.5314691,1
14,1231319.39259405,5781516.46704234,1
15,1231440.19650546,5781405.07884124,1
16,1231550.55864863,5781442.35767187,1
17,1231635.32844087,5781717.30590952,1
18,1231453.38786512,5781955.36620292,1
19,1231562.21379932,5782031.01856044,1
20,1231562.77039677,5782039.06467543,1
21,1231449.63639828,5781973.59002747,1
22,1231527.44872234,5781967.94817101,1
23,1231576.87457625,5781999.01048208,1
24,1231871.12538627,5781623.99404489,1
25,1231835.26937828,5781466.18992131,1
26,1232104.59575431,5781588.74991871,1
27,1231562.23606321,5781756.99019497,1
28,1231591.86931166,5782019.54244094,1
29,1231457.90743644,5782044.17764871,1
30,1231595.43153537,5781961.40875097,1
31,1231649.29903697,5781945.8455918,1
32,1231525.13327693,5781658.42091187,1
33,1231546.41756357,5781780.47068175,1
34,1231624.46365857,5781972.5001231,1
35,1231600.57449584,5782001.623055,1
36,1231629.4841676,5781950.20519697,1
37,1231543.17816639,5781707.60925128,1
38,1231913.94999438,5781691.53365774,1
39,1232019.38068411,5781680.15414255,1
40,1232062.18302832,5781691.80612518,1
41,1231531.26698088,5782039.65771606,1
42,1232082.07582132,5781727.21093667,1
43,1231842.67212442,5781680.84332404,1
44,1231838.00783776,5781637.232666,1
45,1231652.02636449,5781425.12861416,1
46,1231612.53020916,5781987.47029188,1
47,1231619.36522589,5781961.87356253,1
48,1231650.23412069,5782003.96315164,1
49,1231870.05671916,5781637.2166386,1
50,1231608.70081867,5781944.89994243,1
51,1231545.02606994,5782117.33035423,1
52,1231715.66771737,5781998.8341735,1
53,1231639.70329686,5781861.13824773,1
54,1231650.1228012,5781861.79538769,1
55,1231600.20714152,5781968.41298292,1
56,1231554.20992793,5781988.03127301,1
57,1231443.9479723,5781828.20117355,1
58,1231484.75769762,5781771.65547464,1
59,1231317.62261415,5781681.53250558,1
60,1231460.8685349,5781837.8178249,1
61,1231612.40775772,5781959.00455364,1
62,1231594.04004174,5781973.8945596,1
63,1231927.6311598,5781636.76787146,1
64,1231536.43220525,5782011.67265249,1
65,1231456.43801917,5782061.96889533,1
66,1231614.92357821,5781978.9113272,1
67,1231557.43819316,5781973.49385943,1
68,1231579.07870217,5781983.12669641,1
69,1231699.19243274,5782059.17999485,1
70,1231649.22111332,5781721.29676864,1
71,1231829.48076476,5781709.08378374,1
72,1231773.75422767,5781688.9211762,1
73,1231771.39425447,5781629.55554554,1
74,1231548.5771617,5781500.69631127,1
75,1231623.36159561,5781469.82807128,1
76,1231983.31316909,5781258.76976075,1
77,1231761.38663224,5781397.40192181,1
78,1231955.03801843,5781566.359794,1
79,1231660.97645155,5781420.52886209,1
